The Lord of the Rings: The Two Towers|2002|12|179|Adventure, Drama, Fantasy|While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.|the_lord_of_the_rings_the_two_towers_2002.jpg
Se7en|1995|18|127|Crime, Drama, Mystery|Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.|se7en_1995.jpg
Interstellar|2014|12|169|Adventure, Drama, Sci-Fi|A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.|interstellar_2014.jpg
Gladiator|2000|18|155|Action, Adventure, Drama|When a Roman General is betrayed, and his family murdered by an emperor's corrupt son, he comes to Rome as a gladiator to seek revenge.|gladiator_2000.jpg
Django Unchained|2012|18|165|Drama, Western|With the help of a German bounty hunter, a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner.|django_unchained_2012.jpg
Batman Begins|2005|12|140|Action, Adventure|After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.|batman_begins_2005.jpg
The Avengers|2012|12|143|Action, Adventure, Sci-Fi|Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.|the_avengers_2012.jpg
The Silence of the Lambs|1991|18|118|Crime, Drama, Thriller|A young FBI cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.|the_silence_of_the_lambs_1991.jpg
Inglourious Basterds|2009|18|153|Adventure, Drama, War|In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.|inglourious_basterds_2009.jpg
Saving Private Ryan|1998|18|169|Drama, War|Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.|saving_private_ryan_1998.jpg
Schindler's List|1993|18|195|Biography, Drama, History|In German-occupied Poland during World War II, Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazi Germans.|schindler's_list_1993.jpg
The Departed|2006|18|151|Crime, Drama, Thriller|An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.|the_departed_2006.jpg
The Prestige|2006|12|130|Drama, Mystery, Sci-Fi|After a tragic accident, two stage magicians engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.|the_prestige_2006.jpg
Star Wars: Episode V - The Empire Strikes Back|1980|12|124|Action, Adventure, Fantasy|After the rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued by Darth Vader.|star_wars_episode_v_-_the_empire_strikes_back_1980.jpg
Avatar|2009|12|162|Action, Adventure, Fantasy|A paraplegic marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.|avatar_2009.jpg
Memento|2000|18|113|Mystery, Thriller|A man with short-term memory loss attempts to track down his wife's murderer.|memento_2000.jpg
The Wolf of Wall Street|2013|18|180|Biography, Comedy, Crime|Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.|the_wolf_of_wall_street_2013.jpg
American Beauty|1999|18|122|Drama|A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.|american_beauty_1999.jpg
Shutter Island|2010|18|138|Mystery, Thriller|In 1954, a U.S. Marshal investigates the disappearance of a murderer, who escaped from a hospital for the criminally insane.|shutter_island_2010.jpg
The Green Mile|1999|18|189|Crime, Drama, Fantasy|The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.|the_green_mile_1999.jpg
Pirates of the Caribbean: The Curse of the Black Pearl|2003|12|143|Action, Adventure, Fantasy|Blacksmith Will Turner teams up with eccentric pirate "Captain" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.|pirates_of_the_caribbean_the_curse_of_the_black_pearl_2003.jpg
V for Vendetta|2005|18|132|Action, Drama, Sci-Fi|In a future British tyranny, a shadowy freedom fighter, known only by the alias of "V", plots to overthrow it with the help of a young woman.|v_for_vendetta_2005.jpg
American History X|1998|18|119|Crime, Drama|A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.|american_history_x_1998.jpg
Titanic|1997|12|194|Drama, Romance|A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.|titanic_1997.jpg
Back to the Future|1985|12|116|Adventure, Comedy, Sci-Fi|Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.|back_to_the_future_1985.jpg
Léon: The Professional|1994|18|110|Crime, Drama, Thriller|Mathilda, a 12-year-old girl, is reluctantly taken in by Léon, a professional assassin, after her family is murdered. Léon and Mathilda form an unusual relationship, as she becomes his protégée and learns the assassin's trade.|léon_the_professional_1994.jpg
Guardians of the Galaxy|2014|12|121|Action, Adventure, Comedy|A group of intergalactic criminals are forced to work together to stop a fanatical warrior from taking control of the universe.|guardians_of_the_galaxy_2014.jpg
The Usual Suspects|1995|18|106|Crime, Mystery, Thriller|A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.|the_usual_suspects_1995.jpg
Terminator 2|1991|18|137|Action, Sci-Fi|A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her teenage son, John Connor, from a more advanced and powerful cyborg.|terminator_2_1991.jpg
Kill Bill: Vol. 1|2003|18|111|Action, Crime, Thriller|After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.|kill_bill_vol_1_2003.jpg
WALL·E|2008|3|98|Animation, Adventure, Family|In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.|wall·e_2008.jpg
Goodfellas|1990|18|146|Crime, Drama|The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.|goodfellas_1990.jpg
Braveheart|1995|18|178|Biography, Drama, History|When his secret bride is executed for assaulting an English soldier who tried to rape her, Sir William Wallace begins a revolt against King Edward I of England.|braveheart_1995.jpg
Finding Nemo|2003|3|100|Animation, Adventure, Comedy|After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home.|finding_nemo_2003.jpg
Star Wars: Episode VI - Return of the Jedi|1983|12|131|Action, Adventure, Fantasy|After a daring mission to rescue Han Solo from Jabba the Hutt, the rebels dispatch to Endor to destroy a more powerful Death Star. Meanwhile, Luke struggles to help Vader back from the dark side without falling into the Emperor's trap.|star_wars_episode_vi_-_return_of_the_jedi_1983.jpg
The Sixth Sense|1999|12|107|Drama, Mystery, Thriller|A boy who communicates with spirits seeks the help of a disheartened child psychologist.|the_sixth_sense_1999.jpg
Iron Man|2008|12|126|Action, Adventure, Sci-Fi|After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.|iron_man_2008.jpg
Up|2009|12|96|Animation, Adventure, Comedy|Seventy-eight year old Carl Fredricksen travels to Paradise Falls in his home equipped with balloons, inadvertently taking a young stowaway.|up_2009.jpg
The Truman Show|1998|12|103|Comedy, Drama, Sci-Fi|An insurance salesman/adjuster discovers his entire life is actually a television show.|the_truman_show_1998.jpg
Eternal Sunshine of the Spotless Mind|2004|18|108|Drama, Romance, Sci-Fi|When their relationship turns sour, a young couple undergoes a medical procedure to have each other erased from their memories.|eternal_sunshine_of_the_spotless_mind_2004.jpg
Reservoir Dogs|1992|18|99|Crime, Drama, Thriller|After a simple jewelry heist goes terribly wrong, the surviving criminals begin to suspect that one of them is a police informant.|reservoir_dogs_1992.jpg
The Lion King|1994|3|88|Animation, Adventure, Drama|A Lion cub crown prince is tricked by a treacherous uncle into thinking he caused his father's death and flees into exile in despair, only to learn in adulthood his identity and his responsibilities.|the_lion_king_1994.jpg
The Hunger Games|2012|12|142|Adventure, Sci-Fi, Thriller|Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.|the_hunger_games_2012.jpg
Raiders of the Lost Ark|1981|12|115|Action, Adventure|In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before Adolf Hitler's Nazis can obtain its awesome powers.|raiders_of_the_lost_ark_1981.jpg
Deadpool|2016|18|108|Action, Adventure, Comedy|A fast-talking mercenary with a morbid sense of humor is subjected to a rogue experiment that leaves him with accelerated healing powers and a quest for revenge.|deadpool_2016.jpg
Star Wars: The Force Awakens|2015|12|136|Action, Adventure, Fantasy|Three decades after the Empire's defeat, a new threat arises in the militant First Order. Stormtrooper defector Finn and the scavenger Rey are caught up in the Resistance's search for the missing Luke Skywalker.|star_wars_the_force_awakens_2015.jpg
Toy Story|1995|3|81|Animation, Adventure, Comedy|A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.|toy_story_1995.jpg
Jurassic Park|1993|12|127|Adventure, Sci-Fi, Thriller|During a preview tour, a theme park suffers a major power breakdown that allows its cloned dinosaur exhibits to run amok.|jurassic_park_1993.jpg
The Shining|1980|18|146|Drama, Horror|A family heads to an isolated hotel for the winter where an evil spiritual presence influences the father into violence, while his psychic son sees horrific forebodings from the past and of the future.|the_shining_1980.jpg
A Beautiful Mind|2001|12|135|Biography, Drama|After John Nash, a brilliant but asocial mathematician, accepts secret work in cryptography, his life takes a turn for the nightmarish.|a_beautiful_mind_2001.jpg
Mad Max: Fury Road|2015|18|120|Action, Adventure, Sci-Fi|In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper, and a drifter named Max.|mad_max_fury_road_2015.jpg
No Country for Old Men|2007|18|122|Crime, Drama, Thriller|Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande.|no_country_for_old_men_2007.jpg
Good Will Hunting|1997|18|126|Drama|Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.|good_will_hunting_1997.jpg
Slumdog Millionaire|2008|18|120|Drama, Romance|A Mumbai teen reflects on his upbringing in the slums when he is accused of cheating on the Indian Version of "Who Wants to be a Millionaire?"|slumdog_millionaire_2008.jpg
Gone Girl|2014|18|149|Crime, Drama, Mystery|With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.|gone_girl_2014.jpg
Sin City|2005|18|124|Crime, Thriller|A film that explores the dark and miserable town, Basin City, and tells the story of three different people, all caught up in violent corruption.|sin_city_2005.jpg
Monsters, Inc.|2001|3|92|Animation, Adventure, Comedy|In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, 2 monsters realize things may not be what they think.|monsters,_inc_2001.jpg
The Hobbit: An Unexpected Journey|2012|12|169|Adventure, Family, Fantasy|A reluctant Hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home, and the gold within it from the dragon Smaug.|the_hobbit_an_unexpected_journey_2012.jpg
The Terminator|1984|18|107|Action, Sci-Fi|A seemingly indestructible android is sent from 2029 to 1984 to assassinate a waitress, whose unborn son will lead humanity in a war against the machines, while a soldier from that war is sent to protect her at all costs.|the_terminator_1984.jpg
Snatch|2000|18|102|Comedy, Crime|Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers, and supposedly Jewish jewelers fight to track down a priceless stolen diamond.|snatch_2000.jpg
Die Hard|1988|18|132|Action, Thriller|John McClane, officer of the NYPD, tries to save his wife Holly Gennaro and several others that were taken hostage by German terrorist Hans Gruber during a Christmas party at the Nakatomi Plaza in Los Angeles.|die_hard_1988.jpg
Gravity|2013|12|91|Drama, Sci-Fi, Thriller|Two astronauts work together to survive after an accident which leaves them stranded in space.|gravity_2013.jpg
Donnie Darko|2001|18|113|Drama, Sci-Fi, Thriller|A troubled teenager is plagued by visions of a man in a large rabbit suit who manipulates him to commit a series of crimes, after he narrowly escapes a bizarre accident.|donnie_darko_2001.jpg
Catch Me If You Can|2002|12|141|Biography, Crime, Drama|A seasoned FBI agent pursues Frank Abagnale Jr. who, before his 19th birthday, successfully forged millions of dollars' worth of checks while posing as a Pan Am pilot, a doctor, and a legal prosecutor.|catch_me_if_you_can_2002.jpg
Requiem for a Dream|2000|18|102|Drama|The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.|requiem_for_a_dream_2000.jpg
300|2006|18|117|Action, Fantasy|King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C.|300_2006.jpg
Harry Potter and the Deathly Hallows: Part 2|2011|12|130|Adventure, Drama, Fantasy|Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.|harry_potter_and_the_deathly_hallows_part_2_2011.jpg
Iron Man 3|2013|12|130|Action, Adventure, Sci-Fi|When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.|iron_man_3_2013.jpg
Toy Story 3|2010|3|103|Animation, Adventure, Comedy|The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home.|toy_story_3_2010.jpg
The Hangover|2009|18|100|Comedy|Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.|the_hangover_2009.jpg
Gran Torino|2008|18|116|Drama|Disgruntled Korean War veteran Walt Kowalski sets out to reform his neighbor, a Hmong teenager who tried to steal Kowalski's prized possession: a 1972 Gran Torino.|gran_torino_2008.jpg
Thor|2011|12|115|Action, Adventure, Fantasy|The powerful, but arrogant god Thor, is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders.|thor_2011.jpg
The Martian|2015|12|144|Adventure, Drama, Sci-Fi|An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive.|the_martian_2015.jpg
Scarface|1983|18|170|Crime, Drama|In Miami in 1980, a determined Cuban immigrant takes over a drug cartel and succumbs to greed.|scarface_1983.jpg
The Intouchables|2011|18|112|Biography, Comedy, Drama|After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.|the_intouchables_2011.jpg
The Big Lebowski|1998|18|117|Comedy, Crime|"The Dude" Lebowski, mistaken for a millionaire Lebowski, seeks restitution for his ruined rug and enlists his bowling buddies to help get it.|the_big_lebowski_1998.jpg
Star Wars: Episode I - The Phantom Menace|1999|12|136|Action, Adventure, Fantasy|Two Jedi Knights escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their old glory.|star_wars_episode_i_-_the_phantom_menace_1999.jpg
Black Swan|2010|18|108|Drama, Thriller|A committed dancer wins the lead role in a production of Tchaikovsky's "Swan Lake" only to find herself struggling to maintain her sanity.|black_swan_2010.jpg
Man of Steel|2013|12|143|Action, Adventure|Clark Kent, one of the last of an extinguished race disguised as an unremarkable human, is forced to reveal his identity when Earth is invaded by an army of survivors who threaten to bring the planet to the brink of destruction.|man_of_steel_2013.jpg
Captain America: The First Avenger|2011|12|124|Action, Adventure, Sci-Fi|Steve Rogers, a rejected military soldier transforms into Captain America after taking a dose of a "Super-Soldier serum". But being Captain America comes at a price as he attempts to take down a war monger and a terrorist organization.|captain_america_the_first_avenger_2011.jpg
Spider-Man|2002|12|121|Action, Adventure, Sci-Fi|When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.|spider-man_2002.jpg
Captain America: The Winter Soldier|2014|12|136|Action, Adventure, Sci-Fi|As Steve Rogers struggles to embrace his role in the modern world, he teams up with a fellow Avenger and S.H.I.E.L.D agent, Black Widow, to battle a new threat from history: an assassin known as the Winter Soldier.|captain_america_the_winter_soldier_2014.jpg
Iron Man 2|2010|12|124|Action, Adventure, Sci-Fi|With the world now aware of his identity as Iron Man, Tony Stark must contend with both his declining health and a vengeful mad man with ties to his father's legacy.|iron_man_2_2010.jpg
Star Wars: Episode III - Revenge of the Sith|2005|12|140|Action, Adventure, Fantasy|Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy.|star_wars_episode_iii_-_revenge_of_the_sith_2005.jpg
I Am Legend|2007|12|101|Drama, Horror, Sci-Fi|Years after a plague kills most of humanity and transforms the rest into monsters, the sole survivor in New York City struggles valiantly to find a cure.|i_am_legend_2007.jpg
Indiana Jones and the Last Crusade|1989|12|127|Action, Adventure, Fantasy|In 1938, after his father Professor Henry Jones, Sr. goes missing while pursuing the Holy Grail, Indiana Jones finds himself up against Adolf Hitler's Nazis again to stop them obtaining its powers.|indiana_jones_and_the_last_crusade_1989.jpg
The Pianist|2002|18|150|Biography, Drama, Music|A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.|the_pianist_2002.jpg
Avengers: Age of Ultron|2015|12|141|Action, Adventure, Sci-Fi|When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan.|avengers_age_of_ultron_2015.jpg
Silver Linings Playbook|2012|18|122|Comedy, Drama, Romance|After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.|silver_linings_playbook_2012.jpg
The Grand Budapest Hotel|2014|18|99|Adventure, Comedy, Drama|The adventures of Gustave H, a legendary concierge at a famous hotel from the fictional Republic of Zubrowka between the first and second World Wars, and Zero Moustafa, the lobby boy who becomes his most trusted friend.|the_grand_budapest_hotel_2014.jpg
Blade Runner|1982|18|117|Sci-Fi, Thriller|A blade runner must pursue and terminate four replicants who stole a ship in space, and have returned to Earth to find their creator.|blade_runner_1982.jpg
X-Men: Days of Future Past|2014|12|132|Action, Adventure, Sci-Fi|The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants.|x-men_days_of_future_past_2014.jpg
Pirates of the Caribbean: Dead Man's Chest|2006|12|151|Action, Adventure, Fantasy|Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well.|pirates_of_the_caribbean_dead_man's_chest_2006.jpg
District 9|2009|18|112|Sci-Fi, Thriller|An extraterrestrial race forced to live in slum-like conditions on Earth suddenly finds a kindred spirit in a government agent who is exposed to their biotechnology.|district_9_2009.jpg
The Imitation Game|2014|12|114|Biography, Drama, Thriller|During World War II, the English mathematical genius Alan Turing tries to crack the German Enigma code with help from fellow mathematicians.|the_imitation_game_2014.jpg
X-Men: First Class|2011|12|131|Action, Adventure, Sci-Fi|In 1962, the United States government enlists the help of Mutants with superhuman abilities to stop a malicious dictator who is determined to start World War III.|x-men_first_class_2011.jpg
Kill Bill: Vol. 2|2004|18|137|Action, Crime, Thriller|The Bride continues her quest of vengeance against her former boss and lover Bill, the reclusive bouncer Budd and the treacherous, one-eyed Elle.|kill_bill_vol_2_2004.jpg
Full Metal Jacket|1987|18|116|Drama, War|A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.|full_metal_jacket_1987.jpg
How to Train Your Dragon|2010|12|98|Animation, Action, Adventure|A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.|how_to_train_your_dragon_2010.jpg
Aliens|1986|18|137|Action, Adventure, Sci-Fi|Ellen Ripley is rescued by a deep salvage team after being in hypersleep for 57 years. The moon that the Nostromo visited has been colonized, but contact is lost. This time, colonial marines have impressive firepower, but will that be enough?|aliens_1986.jpg
Skyfall|2012|12|143|Action, Adventure, Thriller|Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.|skyfall_2012.jpg
The Revenant|2015|18|156|Action, Adventure, Drama|A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team.|the_revenant_2015.jpg
The King's Speech|2010|18|118|Biography, Drama, History|The story of King George VI of the United Kingdom of Great Britain and Northern Ireland, his impromptu ascension to the throne and the speech therapist who helped the unsure monarch become worthy of it.|the_king's_speech_2010.jpg
Whiplash|2014|18|107|Drama, Music|A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.|whiplash_2014.jpg
The Bourne Ultimatum|2007|12|115|Action, Mystery, Thriller|Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.|the_bourne_ultimatum_2007.jpg
Trainspotting|1996|18|94|Drama|Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.|trainspotting_1996.jpg
The Incredibles|2004|12|115|Animation, Action, Adventure|A family of undercover superheroes, while trying to live the quiet suburban life, are forced into action to save the world.|the_incredibles_2004.jpg
Million Dollar Baby|2004|12|132|Drama, Sport|A determined woman works with a hardened boxing trainer to become a professional.|million_dollar_baby_2004.jpg
The Hunger Games: Catching Fire|2013|12|146|Action, Adventure, Mystery|Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.|the_hunger_games_catching_fire_2013.jpg
Transformers|2007|12|144|Action, Adventure, Sci-Fi|An ancient struggle between two Cybertronian races, the heroic Autobots and the evil Decepticons, comes to Earth, with a clue to the ultimate power held by a teenager.|transformers_2007.jpg
Star Wars: Episode II - Attack of the Clones|2002|12|142|Action, Adventure, Fantasy|Ten years after initially meeting, Anakin Skywalker shares a forbidden romance with Padmé Amidala, while Obi-Wan investigates an assassination attempt on the senator and discovers a secret clone army crafted for the Jedi.|star_wars_episode_ii_-_attack_of_the_clones_2002.jpg
The Social Network|2010|12|120|Biography, Drama|Harvard student Mark Zuckerberg creates the social networking site that would become known as Facebook, but is later sued by two brothers who claimed he stole their idea, and the co-founder who was later squeezed out of the business.|the_social_network_2010.jpg
12 Years a Slave|2013|18|134|Biography, Drama, History|In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.|12_years_a_slave_2013.jpg
Ratatouille|2007|3|111|Animation, Adventure, Comedy|A rat who can cook makes an unusual alliance with a young kitchen worker at a famous restaurant.|ratatouille_2007.jpg
The Hobbit: The Desolation of Smaug|2013|12|161|Adventure, Fantasy|The dwarves, along with Bilbo Baggins and Gandalf the Grey, continue their quest to reclaim Erebor, their homeland, from Smaug. Bilbo Baggins is in possession of a mysterious and magical ring.|the_hobbit_the_desolation_of_smaug_2013.jpg
Star Trek|2009|12|127|Action, Adventure, Sci-Fi|The brash James T. Kirk tries to live up to his father's legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time.|star_trek_2009.jpg
Batman v Superman: Dawn of Justice|2016|12|151|Action, Adventure, Fantasy|Fearing that the actions of Superman are left unchecked, Batman takes on the Man of Steel, while the world wrestles with what kind of a hero it really needs.|batman_v_superman_dawn_of_justice_2016.jpg
Fargo|1996|18|98|Crime, Drama, Thriller|Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.|fargo_1996.jpg
Pirates of the Caribbean: At World's End|2007|12|169|Action, Adventure, Fantasy|Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle.|pirates_of_the_caribbean_at_world's_end_2007.jpg
Harry Potter and the Sorcerer's Stone|2001|12|152|Adventure, Family, Fantasy|An orphaned boy enrolled in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.|harry_potter_and_the_sorcerer's_stone_2001.jpg
Shrek|2001|12|90|Animation, Adventure, Comedy|After his swamp is filled with magical creatures, Shrek agrees to rescue Princess Fiona for a villainous lord in order to get his land back.|shrek_2001.jpg
World War Z|2013|12|116|Action, Adventure, Horror|Former United Nations employee Gerry Lane traverses the world in a race against time to stop the Zombie pandemic that is toppling armies and governments, and threatening to destroy humanity itself.|world_war_z_2013.jpg
Sherlock Holmes|2009|12|128|Action, Adventure, Crime|Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.|sherlock_holmes_2009.jpg
Now You See Me|2013|12|115|Crime, Mystery, Thriller|An F.B.I. Agent, and an Interpol Detective, track a team of illusionists, who pull off bank heists during their performances, and reward their audiences with the money.|now_you_see_me_2013.jpg
Twelve Monkeys|1995|18|129|Mystery, Sci-Fi, Thriller|In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.|twelve_monkeys_1995.jpg
Taken|2008|12|93|Action, Crime, Thriller|A retired CIA agent travels across Europe and relies on his old skills to save his estranged daughter, who has been kidnapped while on a trip to Paris.|taken_2008.jpg
Prometheus|2012|18|124|Adventure, Mystery, Sci-Fi|Following clues to the origin of mankind, a team finds a structure on a distant moon, but they soon realize they are not alone.|prometheus_2012.jpg
Spirited Away|2001|12|125|Animation, Adventure, Family|During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.|spirited_away_2001.jpg
